"site.no","station.name","LATITUDE","LONGITUDE","owner","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"10659","WOODANILLING",-33.5644,117.4322,"BOM",2021-05-18,41.3,14.9,26.4,277.2,177.2,10
"10665","KUKERIN POST OFFICE",-33.1903,118.0811,"BOM",2021-05-18,41.4,13.3,28.1,311.3,211.3,10
"10666","LOCHNAGAR",-32.0408,118.9006,"BOM",2021-05-18,58,10.8,47.2,537,437,10
"10668","KOORIKIN",-32.47,118.1442,"BOM",2021-05-18,42.2,11.3,30.9,373.5,273.5,10
"10692","NEWDEGATE RES.STATION",-33.1139,118.8381,"BOM",2021-05-18,33.2,12.1,21.1,274.4,174.4,9
"10694","TWOLGANUP",-33.9956,117.9164,"BOM",2021-05-18,37.1,13.75,23.35,269.8,169.8,10
"10696","AMRISTA PARK",-32.6617,118.6306,"BOM",2021-05-18,45.4,13.45,31.95,337.5,237.5,10
"10700","KOJONOLOKAN HILLS",-33.4986,117.3117,"BOM",2021-05-18,31.7,14.5,17.2,218.6,118.6,8
"10702","MOUNT WALKER",-32.1011,118.8047,"BOM",2021-05-18,55.8,11.3,44.5,493.8,393.8,10
"10707","JERRAMUNGUP POST OFFICE",-33.9431,118.9189,"BOM",2021-05-18,37.1,16.9,20.2,219.5,119.5,9
"10729","CHILLINUP",-34.3,118.6,"BOM",2021-05-18,59.2,15.85,43.35,373.5,273.5,10
"10792","GAIRDNER",-34.1708,118.9428,"BOM",2021-05-18,44.8,17.95,26.85,249.6,149.6,9
"10797","ELAROO",-34.2539,117.9103,"BOM",2021-05-18,32.8,15.5,17.3,211.6,111.6,9
"10807","BILBARIN",-32.1758,117.9658,"BOM",2021-05-18,56.3,10.8,45.5,521.3,421.3,10
"10823","GLENMORE",-32.2383,117.6361,"BOM",2021-05-18,60,13.4,46.6,447.8,347.8,10
"10851","KATANDRA",-32.8208,119.2925,"BOM",2021-05-18,51.6,11.65,39.95,442.9,342.9,10
"10866","CRANHAM",-33.9331,117.3242,"BOM",2021-05-18,53.4,19.2,34.2,278.1,178.1,10
"10872","DUNELM",-33.1733,118.2458,"BOM",2021-05-18,58.9,13.65,45.25,431.5,331.5,10
"10878","CHESALON",-33.5394,119.655,"BOM",2021-05-18,40,14.6,25.4,274,174,9
"10889","MORDETTA",-32.885,118.6322,"BOM",2021-05-18,47.6,12.2,35.4,390.2,290.2,10
"10894","ESPERIA",-32.635,119.0944,"BOM",2021-05-18,60.1,9.05,51.05,664.1,564.1,10
"10904","SWANARA",-32.1717,118.6136,"BOM",2021-05-18,39.8,10.25,29.55,388.3,288.3,10
"10905","JACUP",-33.8892,119.1075,"BOM",2021-05-18,36.6,16.75,19.85,218.5,118.5,9
"10911","LAKE GRACE",-33.1019,118.4625,"BOM",2021-05-18,63.2,12.35,50.85,511.7,411.7,10
"10916","KATANNING",-33.6869,117.6047,"BOM",2021-05-18,34.6,16.25,18.35,212.9,112.9,9
"10917","WANDERING",-32.67,116.67,"BOM",2021-05-18,40.4,25.1,15.3,161,61,8
"12007","BOODAROCKIN",-31.0622,118.8367,"BOM",2021-05-18,42.5,9.6,32.9,442.7,342.7,10
"12009","NORSEMAN AERO",-32.2147,121.7547,"BOM",2021-05-18,16.9,9.8,7.1,172.4,72.4,8
"12011","BULLFINCH",-30.9886,119.1131,"BOM",2021-05-18,33.9,10.8,23.1,313.9,213.9,9
"12026","BODALLIN SOUTH",-31.6428,118.9011,"BOM",2021-05-18,52.1,12.45,39.65,418.5,318.5,10
"12028","GORYA VALLEY",-33.0383,121.6633,"BOM",2021-05-18,29.5,13,16.5,226.9,126.9,9
"12044","MUNGLINUP WEST",-33.5547,120.6997,"BOM",2021-05-18,39.8,16.3,23.5,244.2,144.2,9
"12054","DOBRA SCRITIA",-31.4172,119.045,"BOM",2021-05-18,47.6,12.1,35.5,393.4,293.4,10
"12056","MOREE",-31.5953,119.1403,"BOM",2021-05-18,48.4,12.3,36.1,393.5,293.5,10
"12064","NOONGAAR",-31.3364,118.9781,"BOM",2021-05-18,49.4,11.4,38,433.3,333.3,10
"12065","NORSEMAN",-32.1992,121.7786,"BOM",2021-05-18,16.6,10.2,6.4,162.7,62.7,7
"12071","SALMON GUMS RES.STN.",-32.9881,121.6225,"BOM",2021-05-18,27.8,14.05,13.75,197.9,97.9,8
"12077","I DUNNO",-32.8617,121.7064,"BOM",2021-05-18,25.5,12,13.5,212.5,112.5,8
"12083","WESTONIA",-31.3025,118.6906,"BOM",2021-05-18,51.4,14.75,36.65,348.5,248.5,10
"12101","SEVEN OAKS",-31.3225,118.5131,"BOM",2021-05-18,56.4,10.95,45.45,515.1,415.1,10
"12114","RICHFIELDS",-33.6861,120.6942,"BOM",2021-05-18,40,15.2,24.8,263.2,163.2,9
"12198","SCADDAN WEST",-33.3856,121.4472,"BOM",2021-05-18,36.1,14.45,21.65,249.8,149.8,8
"12201","YOUANMI VALLEY",-31.7042,119.2356,"BOM",2021-05-18,48.1,10.7,37.4,449.5,349.5,9
"12223","LORT RIVER",-33.225,121.3528,"BOM",2021-05-18,33,13.4,19.6,246.3,146.3,9
"12265","CIRCLE VALLEY",-33.0617,121.7967,"BOM",2021-05-18,28,13.55,14.45,206.6,106.6,9
